scenario_id,description,retrieval_metric_eligible,relevant_recipe_ids,evidence_source,mapped_ingredient_keys,system_top_5,baseline_top_5,system_first_relevant_rank,baseline_first_relevant_rank,system_hit_at_3,baseline_hit_at_3,system_hit_at_5,baseline_hit_at_5,system_mrr,baseline_mrr,checks_passed,checks_total,scenario_passed
basket-omelette-six-eggs-olive-oil,A six-egg retail pack and olive oil should make the omelette a strong match.,true,classic-omelette,basket,egg|olive_oil,classic-omelette|fluffy-pancakes|tomato-pantry-pasta|chickpea-tomato-stew|mushroom-pea-rice,classic-omelette|fluffy-pancakes|tomato-pantry-pasta|tuna-pasta-salad|chickpea-tomato-stew,1,1,1,1,1,1,1,1,6,6,true
basket-tomato-pantry-pasta,"Pasta, tomato concentrate and olive oil target tomato pantry pasta.",true,tomato-pantry-pasta,basket,olive_oil|pasta|tomato,tomato-pantry-pasta|cheesy-tomato-pasta|chickpea-tomato-stew|classic-omelette|tuna-pasta-salad,classic-omelette|fluffy-pancakes|tomato-pantry-pasta|tuna-pasta-salad|chickpea-tomato-stew,1,3,1,1,1,1,1,0.3333,1,1,true
basket-mushroom-pea-rice,"Rice, canned mushrooms, peas and olive oil target mushroom and pea rice.",true,mushroom-pea-rice,basket,mushroom|olive_oil|peas|rice,mushroom-pea-rice|classic-omelette|tomato-pantry-pasta|chickpea-tomato-stew|rice-pudding,classic-omelette|fluffy-pancakes|tomato-pantry-pasta|tuna-pasta-salad|chickpea-tomato-stew,1,6,1,0,1,0,1,0.1667,1,1,true
basket-chickpea-tomato-stew,"Chickpeas, tomato concentrate and olive oil target chickpea tomato stew.",true,chickpea-tomato-stew,basket,chickpeas|olive_oil|tomato,chickpea-tomato-stew|tomato-pantry-pasta|classic-omelette|cheesy-tomato-pasta|mushroom-pea-rice,classic-omelette|fluffy-pancakes|tomato-pantry-pasta|tuna-pasta-salad|chickpea-tomato-stew,1,5,1,0,1,1,1,0.2,1,1,true
basket-fluffy-pancakes,"Flour, eggs and milk target fluffy pancakes when peanut butter is absent.",true,fluffy-pancakes,basket,egg|flour|milk,fluffy-pancakes|peanut-butter-pancakes|classic-omelette|rice-pudding|tomato-pantry-pasta,classic-omelette|fluffy-pancakes|tomato-pantry-pasta|tuna-pasta-salad|chickpea-tomato-stew,1,2,1,1,1,1,1,0.5,2,2,true
basket-peanut-butter-pancakes,The pancake batter plus peanut butter should prefer the more specific pancake recipe.,true,peanut-butter-pancakes,basket,egg|flour|milk|peanut_butter,peanut-butter-pancakes|fluffy-pancakes|classic-omelette|rice-pudding|tomato-pantry-pasta,classic-omelette|fluffy-pancakes|tomato-pantry-pasta|tuna-pasta-salad|chickpea-tomato-stew,1,10,1,0,1,0,1,0.1,2,2,true
basket-rice-pudding,"Rice, milk and sugar target rice pudding at the approved family quantities.",true,rice-pudding,basket,milk|rice|sugar,rice-pudding|fluffy-pancakes|mushroom-pea-rice|peanut-butter-pancakes|classic-omelette,classic-omelette|fluffy-pancakes|tomato-pantry-pasta|tuna-pasta-salad|chickpea-tomato-stew,1,9,1,0,1,0,1,0.1111,1,1,true
basket-tuna-pasta-salad-sufficient,Two 130 g tuna cans (260 g) plus pasta and mayonnaise meet the 250 g tuna requirement.,true,tuna-pasta-salad,basket,canned_tuna|mayonnaise|pasta,tuna-pasta-salad|tuna-tortilla-wrap|tomato-pantry-pasta|cheesy-tomato-pasta|classic-omelette,classic-omelette|fluffy-pancakes|tomato-pantry-pasta|tuna-pasta-salad|chickpea-tomato-stew,1,4,1,0,1,1,1,0.25,4,4,true
history-only-pasta,"When the basket has no usable mapping, validated history supplies presence evidence, not current inventory.",true,tomato-pantry-pasta,history,olive_oil|pasta|tomato,tomato-pantry-pasta|cheesy-tomato-pasta|chickpea-tomato-stew|classic-omelette|tuna-pasta-salad,classic-omelette|fluffy-pancakes|tomato-pantry-pasta|tuna-pasta-salad|chickpea-tomato-stew,1,3,1,1,1,1,1,0.3333,1,1,true
basket-priority-over-history,Mapped current-basket evidence must take priority over a different history pattern.,true,classic-omelette,basket,egg|olive_oil,classic-omelette|fluffy-pancakes|tomato-pantry-pasta|chickpea-tomato-stew|mushroom-pea-rice,classic-omelette|fluffy-pancakes|tomato-pantry-pasta|tuna-pasta-salad|chickpea-tomato-stew,1,1,1,1,1,1,1,1,1,1,true
